city,total_orders,total_revenue,average_order_value
East Donnaview,1,381.76,381.76
East Walter,1,165.69,165.69
North Tylerburgh,1,130.47,130.47
Bryanstad,2,335.24,167.62
Kaitlynview,1,408.36,408.36
New Anthonyshire,2,690.82,345.41
Lake Travismouth,1,379.16,379.16
Greenestad,1,143.0,143.0
West Jacobborough,1,229.01,229.01
Clarkview,3,990.84,330.28
Lake Shannonville,1,71.56,71.56
East Willie,1,290.19,290.19
New Ralph,1,272.87,272.87
Gentryport,1,261.38,261.38
North Lukeshire,1,274.09,274.09
South Alexberg,1,278.2,278.2
Ritterside,1,351.02,351.02
Abigailview,1,279.51,279.51
East Reneestad,1,279.84,279.84
North Bethport,1,265.55,265.55
Ortegaview,1,122.59,122.59
East Gwendolynstad,1,315.5,315.5
Port Andreamouth,1,120.04,120.04
Joelberg,1,493.13,493.13
Marksmouth,1,220.97,220.97
Port Michaelshire,2,494.56,247.28
North Leslie,4,643.74,160.935
Taylorville,8,2045.02,255.6275
North Erik,4,841.96,210.49
Phillipsburgh,4,1103.52,275.88
New Robertport,3,760.99,253.663333333333
Williamstad,8,1386.38,173.2975
Goldenborough,1,38.88,38.88
Pittmanburgh,1,237.91,237.91
New Kellyland,2,614.42,307.21
Watsonville,5,1295.0,259.0
East Ginamouth,1,474.14,474.14
Sheltonside,2,412.02,206.01
Fowlershire,2,480.73,240.365
Schroedershire,1,18.99,18.99
Jamesmouth,18,4401.66,244.536666666667
West Elizabethland,1,468.35,468.35
Simpsonhaven,2,449.74,224.87
East Garrett,2,551.73,275.865
Ortegaburgh,2,247.66,123.83
Davidfort,14,4456.3,318.307142857143
Lake Stacey,3,310.05,103.35
South Nancy,9,2151.38,239.042222222222
Rodriguezchester,4,1034.16,258.54
East Kevinhaven,2,371.83,185.915
East Paulhaven,2,651.95,325.975
South William,18,4924.04,273.557777777778
Aliciabury,2,563.71,281.855
Morganborough,3,741.66,247.22
Kellermouth,1,143.72,143.72
Cannonfort,1,11.28,11.28
Bryanfurt,4,705.96,176.49
West Sylvia,2,662.04,331.02
South Dianeberg,1,185.89,185.89
Angelicaborough,1,80.29,80.29
Margaretville,3,433.76,144.586666666667
Port Gordon,2,706.19,353.095
Stevenland,7,1814.19,259.17
Port Jessica,16,4015.77,250.985625
North Kristi,2,748.37,374.185
Lake Billy,5,1389.7,277.94
Lake Sharonborough,2,668.17,334.085
Gutierrezland,1,209.92,209.92
North Lorichester,1,121.66,121.66
Gregorychester,3,644.51,214.836666666667
Brookemouth,2,414.79,207.395
Gordonfurt,2,654.35,327.175
Port Edwardburgh,1,42.13,42.13
Andersonstad,7,1590.46,227.208571428571
South Alexanderberg,1,309.39,309.39
South Monicachester,1,240.68,240.68
Morenoshire,2,612.2,306.1
Melissafurt,5,623.95,124.79
Christinatown,6,1814.71,302.451666666667
South Bethanyport,1,358.1,358.1
Changview,1,362.63,362.63
East Kimberlyton,1,73.02,73.02
Perryfort,1,283.36,283.36
Feliciaburgh,1,358.36,358.36
Stephenmouth,6,2152.03,358.671666666667
Lake Chrisside,1,486.79,486.79
Goldenport,2,605.43,302.715
West Hannah,5,1546.43,309.286
Mendozaburgh,1,464.85,464.85
North Jessicaville,3,655.26,218.42
Henryland,2,600.3,300.15
Henrytown,2,178.78,89.39
Graceburgh,1,326.75,326.75
Burnsmouth,2,742.46,371.23
South Pamelastad,1,20.09,20.09
Jamesberg,14,3505.14,250.367142857143
Yorkberg,1,435.0,435.0
Crystalbury,5,1347.46,269.492
New Kevinton,2,314.99,157.495
South Erinhaven,2,303.05,151.525
Susanstad,2,857.59,428.795
Snyderview,1,171.26,171.26
South Yolandamouth,1,103.25,103.25
Sanchezton,1,403.86,403.86
East Grantmouth,1,406.13,406.13
East Markburgh,1,143.65,143.65
Lake Stephaniehaven,2,491.04,245.52
East Marisaville,1,41.8,41.8
Lake Ravenburgh,1,20.47,20.47
West Kathymouth,1,109.91,109.91
East Amandamouth,3,621.91,207.303333333333
East Victoriachester,1,337.61,337.61
East Stevenview,1,14.5,14.5
East Richardmouth,3,941.29,313.763333333333
Brandttown,1,418.77,418.77
Gonzalezview,2,494.53,247.265
Richardshire,5,1246.32,249.264
Leblancville,1,355.44,355.44
East Joycehaven,1,406.25,406.25
Gloverfort,2,441.79,220.895
North Madison,1,138.86,138.86
West Johnnymouth,2,347.82,173.91
Port Megan,4,1263.87,315.9675
Crossberg,1,70.54,70.54
Walshfurt,2,402.99,201.495
East Stacie,3,624.59,208.196666666667
New Wendybury,1,286.1,286.1
Vickiefort,1,342.51,342.51
West Lisahaven,1,138.36,138.36
South Dakotaton,1,441.64,441.64
Aprilburgh,3,937.43,312.476666666667
West Thomasport,1,292.98,292.98
New Courtneyview,1,113.52,113.52
Laurenland,1,345.51,345.51
Lake Brettmouth,1,354.58,354.58
West Kimberlystad,1,362.42,362.42
Duranfort,1,153.9,153.9
Port Trevorchester,1,119.99,119.99
Port Brendanside,1,392.86,392.86
Sharpland,2,137.66,68.83
Jesusfort,1,479.28,479.28
Abigailbury,1,327.66,327.66
Joseview,2,484.82,242.41
Chadberg,1,332.3,332.3
Nicholestad,1,257.71,257.71
Lake Perry,1,221.42,221.42
Lunaburgh,1,274.21,274.21
Obrienfort,1,304.62,304.62
Christiechester,1,87.62,87.62
South Markfort,1,491.98,491.98
Thompsonbury,2,804.31,402.155
Faulknerton,2,464.33,232.165
North Andreaside,2,781.06,390.53
Frederickbury,1,215.67,215.67
Lake Alanland,2,517.82,258.91
Katiemouth,2,680.39,340.195
Lake Tiffanyborough,1,338.26,338.26
West Debbie,2,735.46,367.73
Mccoymouth,1,141.65,141.65
Adkinsbury,1,123.46,123.46
Lake Hannahfurt,1,341.12,341.12
Port Douglas,2,671.59,335.795
Port Travisville,1,487.31,487.31
West Branditown,1,257.35,257.35
Briannaburgh,1,158.22,158.22
Gillespiestad,1,351.17,351.17
Port Adrianaburgh,1,13.29,13.29
Port Williamland,1,467.85,467.85
Frankside,2,541.14,270.57
Vernonburgh,1,135.13,135.13
Danielleland,3,1231.44,410.48
Lake Vanessaborough,1,197.32,197.32
Patelton,2,976.36,488.18
Lemouth,1,121.68,121.68
Zimmermanville,1,297.64,297.64
Darrenshire,1,187.43,187.43
Lake Biancaton,1,102.16,102.16
Timmouth,1,147.12,147.12
East Raymondstad,1,243.5,243.5
South Kayleeshire,1,358.01,358.01
Wilkinsonport,1,192.9,192.9
Hendricksburgh,1,390.46,390.46
Brandihaven,1,247.32,247.32
Erikside,2,260.79,130.395
Port Beckybury,1,347.63,347.63
Port Kyleshire,1,387.48,387.48
Port Stacietown,1,64.09,64.09
New Carolynview,1,442.21,442.21
South Claudiafort,1,314.77,314.77
New Danamouth,1,274.0,274.0
New Williamport,1,206.62,206.62
South Rebeccaton,1,474.31,474.31
West Kyleburgh,1,162.27,162.27
North Erictown,1,427.43,427.43
New Allenmouth,1,328.66,328.66
North Crystalfort,1,409.73,409.73
Riceville,1,490.15,490.15
New Beth,3,1090.57,363.523333333333
North Emma,1,311.12,311.12
Rachelshire,4,632.16,158.04
North Robert,29,7495.43,258.463103448276
Watkinsmouth,5,1145.72,229.144
North Nancy,4,1130.44,282.61
Grayhaven,4,1004.62,251.155
Mataborough,1,59.66,59.66
Collinsmouth,3,810.81,270.27
Port Daniel,22,5538.02,251.728181818182
North Robertport,3,378.45,126.15
Jamesport,10,2488.83,248.883
Port Stevenchester,1,174.66,174.66
Joshuaburgh,5,1002.71,200.542
North Ronaldborough,1,45.46,45.46
Russellfort,3,611.2,203.733333333333
South John,31,8410.31,271.300322580645
Franklintown,1,200.5,200.5
East Richardstad,4,1360.7,340.175
Toddport,3,534.6,178.2
Floydbury,1,188.6,188.6
North Pamela,1,282.93,282.93
South Catherinehaven,1,234.63,234.63
Myersborough,3,504.05,168.016666666667
South Tarahaven,1,313.45,313.45
Gonzalezbury,2,554.86,277.43
New Ruth,3,647.31,215.77
Lawsonmouth,3,348.29,116.096666666667
South Lance,3,783.39,261.13
West Michellefort,1,409.16,409.16
Reyesside,3,959.91,319.97
North Biancaberg,1,372.2,372.2
Hawkinsview,2,306.29,153.145
Mccannmouth,3,952.91,317.636666666667
Adrianview,2,292.32,146.16
New Elizabeth,7,1198.13,171.161428571429
South Jackie,2,877.89,438.945
Wyattfort,2,425.7,212.85
Lake Davidmouth,3,651.45,217.15
Newmanshire,1,337.09,337.09
Melendezfort,1,221.89,221.89
Lake Matthewburgh,1,74.98,74.98
Johnstonstad,2,324.99,162.495
Finleyberg,2,637.15,318.575
Webbfurt,1,46.57,46.57
Port Derekland,1,172.73,172.73
North Travisville,1,46.06,46.06
Landryville,1,270.41,270.41
Danielleside,2,515.02,257.51
West Nicoleborough,1,57.75,57.75
Mercedesbury,1,116.85,116.85
Port Taratown,1,223.36,223.36
Melindaburgh,2,527.6,263.8
New Charlesview,1,33.28,33.28
Port Katherinebury,1,407.22,407.22
Sanchezport,2,782.62,391.31
Rogersberg,5,1601.73,320.346
Micheleville,1,260.39,260.39
Braytown,1,57.77,57.77
Kennethburgh,2,280.98,140.49
North Katrinatown,1,439.14,439.14
Sherylfort,1,343.76,343.76
Breannaborough,1,142.37,142.37
New Courtneyborough,1,463.66,463.66
New Deborah,8,2143.09,267.88625
Acevedoview,1,182.56,182.56
Denisetown,4,992.36,248.09
Silvatown,2,442.99,221.495
Mendozaberg,3,636.52,212.173333333333
New Sean,7,2004.1,286.3
West Jasonstad,1,149.12,149.12
Susanland,5,1616.95,323.39
Lake Jackiehaven,1,426.09,426.09
North Georgechester,1,96.55,96.55
Robertsville,4,842.62,210.655
Port Mistyport,1,456.08,456.08
West Johnny,3,450.04,150.013333333333
Lake Paul,13,2956.04,227.387692307692
Tiffanyberg,3,856.41,285.47
North Amyberg,1,398.15,398.15
West Ronaldmouth,1,292.82,292.82
Port Dan,1,270.56,270.56
East Jenniferhaven,1,188.13,188.13
New Amyland,1,12.9,12.9
Josephshire,3,565.45,188.483333333333
Ibarraview,2,780.24,390.12
Bruceland,1,436.76,436.76
Hunterside,1,394.52,394.52
Castilloport,2,635.13,317.565
North Stevenland,1,385.82,385.82
New Joshuafurt,1,175.63,175.63
Trevinotown,2,443.15,221.575
East Jenniferstad,1,50.48,50.48
West Brandonchester,1,157.11,157.11
Jenniferstad,8,2178.75,272.34375
North Kyleside,1,373.38,373.38
Grantville,2,375.48,187.74
Mcconnellborough,2,953.77,476.885
South Darrylburgh,1,72.16,72.16
South Dianastad,1,316.54,316.54
Alvarezland,1,103.29,103.29
East Markbury,1,379.25,379.25
Darrellmouth,1,239.7,239.7
East Dennishaven,1,364.71,364.71
Gaybury,1,399.77,399.77
Rowefort,2,847.43,423.715
South Neilmouth,1,433.5,433.5
Guerreroborough,1,365.4,365.4
Leonton,1,425.96,425.96
South Josephburgh,1,375.18,375.18
Stewartburgh,4,522.66,130.665
East Ryanstad,1,399.74,399.74
Lake Jonathanport,1,121.14,121.14
Lake Markland,2,913.77,456.885
North Jessicaland,2,650.67,325.335
East Kimberlyberg,1,133.68,133.68
Lake Robertoshire,1,491.07,491.07
Bonniefurt,1,482.86,482.86
North Erichaven,1,348.34,348.34
Port Rachelborough,1,17.89,17.89
North Dawnchester,1,35.89,35.89
Jaimetown,1,123.42,123.42
South Kathrynstad,1,383.18,383.18
North Johnville,1,194.26,194.26
South Samanthashire,2,496.59,248.295
Cisnerosside,1,272.33,272.33
Lake Jackie,1,87.01,87.01
New Theresaview,1,380.84,380.84
Houstonchester,1,139.71,139.71
Margaretshire,2,919.94,459.97
New Evanstad,1,223.1,223.1
Galvanstad,1,113.04,113.04
East Michellefort,1,70.35,70.35
Morganside,4,1063.84,265.96
Rothhaven,1,169.52,169.52
Brittanymouth,5,1531.77,306.354
Ramirezland,2,790.16,395.08
Huffport,1,211.78,211.78
North Matthewville,1,32.27,32.27
Suarezborough,1,462.22,462.22
Nancyland,4,760.32,190.08
West Waynestad,1,126.41,126.41
Lake Shannonmouth,1,190.04,190.04
West Johnathanfort,1,41.4,41.4
East Austinborough,1,204.88,204.88
Lake Stephanieland,1,467.31,467.31
Lake Jeremytown,1,267.25,267.25
Port Ryanland,2,364.89,182.445
North Marcusland,2,246.95,123.475
New Brett,2,761.5,380.75
Grayview,2,589.34,294.67
Colinville,2,824.71,412.355
Wayneburgh,1,140.65,140.65
South Amberland,1,291.66,291.66
North Richardfurt,1,464.29,464.29
Simpsonberg,1,302.25,302.25
Luisfurt,1,346.37,346.37
Walkerchester,2,298.24,149.12
Debraside,1,327.07,327.07
Lake Jacobchester,2,336.84,168.42
South Andrewbury,1,405.28,405.28
North Amberchester,1,266.58,266.58
New Kristinland,1,401.33,401.33
West Danaborough,1,191.99,191.99
Wyatttown,1,36.68,36.68
South Ericmouth,1,463.97,463.97
Watsonport,1,35.06,35.06
Mirandaton,1,158.23,158.23
West Melissabury,2,389.11,194.555
New Daniel,16,4352.47,272.029375
Manningberg,1,349.32,349.32
Riveratown,1,443.75,443.75
Bakerburgh,3,713.81,237.936666666667
Spencemouth,2,720.56,360.28
East Scottmouth,1,353.92,353.92
West Carlamouth,1,306.87,306.87
New Christopher,27,6729.9,249.255555555556
Freemanfurt,1,254.59,254.59
Scottview,6,1614.48,269.08
West Heathershire,1,206.0,206.0
South Nicholas,10,2300.39,230.039
Sharonburgh,4,310.56,77.64
New Edward,9,2078.91,230.99
Haleyborough,2,807.55,403.775
Doyletown,2,415.37,207.685
Bridgetfort,1,448.16,448.16
Lake Johnberg,5,1379.03,275.806
Lake Ashleyview,3,508.99,169.663333333333
Alexandertown,5,742.12,148.424
South Colleenberg,1,48.52,48.52
New Robyn,1,28.37,28.37
Monroeport,1,239.31,239.31
Armstrongborough,2,724.86,362.43
Port Russell,1,388.26,388.26
Lake Roberthaven,1,85.79,85.79
Julieport,6,1105.65,184.275
Darrelltown,1,328.11,328.11
West Johnbury,2,306.85,153.425
Sanfordmouth,1,121.95,121.95
Mercerberg,2,569.19,284.595
Wandashire,1,211.41,211.41
East Victoriahaven,2,197.28,98.64
Port Erinburgh,1,123.29,123.29
New Dean,2,400.63,200.315
South Andrewchester,1,72.15,72.15
Cannonburgh,1,425.97,425.97
Alyssamouth,3,569.31,189.77
Port Roger,2,417.15,208.575
Lake Gabrielle,2,179.95,89.975
Nelsonfort,1,171.43,171.43
Lake Jaclyn,1,405.15,405.15
East Stevenchester,1,94.31,94.31
North Anthonystad,2,713.65,356.825
Lake Tammyhaven,2,522.84,261.42
Ramirezport,3,831.54,277.18
North Zacharyborough,1,414.45,414.45
Cassandraberg,1,491.08,491.08
Lake Monicaborough,2,386.61,193.305
Port Luisburgh,1,478.99,478.99
Yolandastad,1,198.57,198.57
Rebekahchester,1,278.49,278.49
Kathychester,3,783.14,261.046666666667
North Jonathanburgh,2,697.54,348.77
South Nathan,7,2257.69,322.527142857143
Port Johnside,2,487.68,243.84
Mckenzieland,2,38.45,19.225
Aprilfort,1,206.91,206.91
East Gregoryville,1,234.18,234.18
West Melissaview,3,647.82,215.94
North Amandaborough,1,452.33,452.33
Rodgersville,1,66.34,66.34
Lake Jamesfurt,2,733.7,366.85
South Crystalbury,1,189.88,189.88
Fuenteschester,1,296.51,296.51
East Rachelfort,3,717.12,239.04
Lake Charlesside,1,197.15,197.15
Alanmouth,3,1323.53,441.176666666667
Colemanshire,4,705.7,176.425
Burnsland,3,515.05,171.683333333333
South Amandaberg,1,310.06,310.06
Port Kathrynfurt,1,14.25,14.25
Cynthiaview,1,479.83,479.83
Lake Aaronbury,2,678.37,339.185
Port Kellyberg,2,848.84,424.42
Lake Larry,1,67.48,67.48
West Wendy,2,682.87,341.435
Hoodfort,1,169.1,169.1
East Josephview,1,119.49,119.49
Jonathanberg,6,1202.16,200.36
Campbellberg,1,227.5,227.5
North Jennyberg,1,98.25,98.25
North Brianland,2,772.35,386.175
South Amandaburgh,1,35.15,35.15
South Shelbyside,1,144.68,144.68
Huntermouth,4,511.44,127.86
Saundersville,3,1129.42,376.473333333333
Deborahfort,1,94.64,94.64
South Caleb,1,234.75,234.75
East Emilyport,1,455.2,455.2
West Philipchester,1,116.43,116.43
Lake Maryside,1,320.32,320.32
Fuentesmouth,1,291.61,291.61
East Josephside,1,235.16,235.16
New Jamesland,3,514.66,171.553333333333
Deborahville,4,1723.48,430.87
Lake Kristinport,1,211.37,211.37
Port Debramouth,1,473.22,473.22
East Tiffanyhaven,1,485.46,485.46
West Rogerstad,1,376.5,376.5
South Candice,1,333.11,333.11
Samuelstad,1,480.51,480.51
New Sarahchester,1,229.53,229.53
Guerraville,2,528.48,264.24
Shawnfort,1,50.55,50.55
Port Dianaborough,1,358.74,358.74
Mollyside,1,345.61,345.61
New Michaelbury,4,674.81,168.7025
Brownland,5,1659.71,331.942
Charleneborough,1,261.9,261.9
Richardfort,7,1879.29,268.47
Prestonville,3,762.49,254.163333333333
Munozton,3,936.88,312.293333333333
Wilkinsonview,1,460.81,460.81
East Elizabethview,2,963.23,481.615
Brianhaven,5,1609.86,321.972
South Madisonberg,1,192.1,192.1
Port Jeanette,1,425.61,425.61
South Ianhaven,1,232.4,232.4
Lake Mathewview,2,533.48,266.74
East Kimberlyfurt,2,851.83,425.915
West Monica,3,1049.7,349.9
Reyesville,2,625.88,312.94
Lake Arthur,1,24.52,24.52
West Danachester,1,118.61,118.61
Port Collinchester,1,321.14,321.14
East Connieview,1,326.98,326.98
North Kimberlyfurt,1,341.21,341.21
Lake Richardberg,1,271.28,271.28
Harrisbury,4,1057.85,264.4625
Kingview,3,722.16,240.72
Lake Anthonyville,1,274.34,274.34
Port Tammyfort,3,526.18,175.393333333333
Greenstad,1,229.83,229.83
Wolfetown,1,369.41,369.41
Schmidtmouth,3,926.5,308.833333333333
Sotofurt,1,364.14,364.14
Lake Jenniferfurt,4,654.53,163.6325
West Tabithaborough,1,490.68,490.68
Barkerburgh,1,492.78,492.78
North Lindaview,1,422.75,422.75
West Arthur,3,865.63,288.543333333333
Harveyfurt,1,463.36,463.36
North Donnaton,1,21.11,21.11
Huntbury,1,315.19,315.19
North Angieshire,1,348.16,348.16
South Robertoland,1,466.49,466.49
Beckyberg,1,253.42,253.42
Victorchester,1,151.48,151.48
West Audreyton,1,272.46,272.46
East Thomasville,2,546.81,273.405
Tonyborough,3,1190.47,396.823333333333
Lake Suzanneberg,2,411.96,205.98
West Feliciaview,1,235.48,235.48
East Robertport,1,369.47,369.47
Kristinatown,1,252.3,252.3
Shelbyside,1,98.91,98.91
Perkinsmouth,1,280.83,280.83
Lake Meghanmouth,1,177.17,177.17
New Donaldfurt,1,499.0,499.0
North Denisebury,1,400.53,400.53
Macdonaldmouth,1,363.41,363.41
North Kimberlytown,1,218.2,218.2
Port Kathleenfurt,1,481.07,481.07
Carlaland,1,30.43,30.43
Annaborough,1,205.59,205.59
Kellerstad,1,386.85,386.85
New Glenn,3,802.83,267.61
East Debraland,1,389.73,389.73
Kingport,6,2080.88,346.813333333333
Kristinton,1,137.67,137.67
Jeffbury,3,658.77,219.59
Geraldside,1,127.41,127.41
Douglasmouth,5,1765.07,353.014
East James,24,7440.28,310.011666666667
Kennethmouth,6,966.52,161.086666666667
Lake Amandafurt,2,676.41,338.205
Stacyshire,1,476.78,476.78
New Patrickville,1,191.15,191.15
East Jerry,3,652.87,217.623333333333
West Cody,3,904.96,301.653333333333
East Brent,1,489.65,489.65
Cunninghamland,1,428.27,428.27
Port Samantha,8,1933.57,241.69625
Brianville,5,1132.51,226.502
Craigborough,2,906.5,453.25
Maynardshire,1,120.9,120.9
Hicksland,2,617.99,308.995
Churchbury,1,158.24,158.24
Mclaughlinville,1,337.26,337.26
North Thomas,11,2179.95,198.177272727273
South Brentburgh,2,401.13,200.565
North John,22,4823.62,219.255454545455
Dianefort,2,412.24,206.12
West Michaelborough,3,1170.59,390.196666666667
North Joannemouth,1,18.18,18.18
West Leslietown,1,256.32,256.32
Morganmouth,7,2481.78,354.54
Collinsborough,2,219.17,109.585
New Jasonmouth,4,1098.01,274.5025
Jaredberg,1,268.84,268.84
Lake Luke,1,59.24,59.24
South Williamborough,2,892.54,446.27
Lake Josephview,1,282.94,282.94
Blairbury,1,157.04,157.04
Lake Michele,7,1795.09,256.441428571429
Port Joshuaton,1,291.22,291.22
Port Sandra,9,2279.29,253.254444444444
East Carl,2,248.38,124.19
Edwardtown,2,264.63,132.315
Warnerberg,1,32.91,32.91
Zavalashire,1,416.14,416.14
East Micheal,2,531.33,265.665
Cesarshire,1,487.44,487.44
South Michealbury,1,477.74,477.74
Georgemouth,6,1705.01,284.168333333333
Stanleyland,1,316.06,316.06
East Shariborough,1,201.39,201.39
Jonesberg,5,958.91,191.782
South Dalestad,1,13.19,13.19
Jasonstad,5,1347.35,269.47
Delacruzstad,1,188.25,188.25
Sotoborough,3,263.8,87.9333333333333
Morrisburgh,3,943.41,314.47
Lake Kristen,5,1059.35,211.87
Yatesshire,3,643.81,214.603333333333
Randallfurt,1,177.52,177.52
East Mitchell,2,255.9,127.95
Munozbury,1,28.86,28.86
New Haleyville,1,166.91,166.91
Bowenburgh,1,147.69,147.69
Mercadohaven,1,114.1,114.1
Paulaside,1,335.29,335.29
Wallville,1,492.82,492.82
East Stephanieborough,1,284.3,284.3
East Dawn,3,789.65,263.216666666667
New Christineland,1,125.3,125.3
Stewartborough,2,553.49,276.745
Farleymouth,1,435.7,435.7
East Michelle,12,3661.08,305.09
New Terry,2,889.72,444.86
Port Christie,1,438.69,438.69
Belltown,2,367.83,183.915
Ryanland,2,349.47,174.735
Ayalafort,1,101.85,101.85
Gallaghertown,1,264.83,264.83
North Shawnport,2,185.33,92.665
South Grant,2,170.21,85.105
Reidhaven,1,146.32,146.32
Juanton,1,107.39,107.39
Port Victorborough,1,154.16,154.16
Cantrellchester,1,494.17,494.17
West Allenmouth,1,197.58,197.58
Yvonneborough,1,105.22,105.22
Lake Andrewbury,1,277.83,277.83
Powerstown,2,241.69,120.845
East Courtney,2,519.12,259.56
Port Maryshire,1,439.32,439.32
Marisabury,1,473.67,473.67
South Ericview,1,21.79,21.79
Port Garymouth,4,839.62,209.905
Pittmanfort,1,433.52,433.52
East Danielshire,3,1001.09,333.696666666667
West Heatherville,1,72.78,72.78
New Robertside,1,53.06,53.06
Santiagoberg,1,96.71,96.71
Lynchview,1,13.62,13.62
Lake Angelashire,1,165.36,165.36
West Dianeside,1,56.96,56.96
North Scottberg,2,293.28,146.64
Pollardfurt,1,339.43,339.43
Morganchester,1,146.7,146.7
Rileymouth,2,505.95,252.975
East Leroyfurt,1,449.7,449.7
Lukemouth,3,687.69,229.23
West Danielfurt,3,894.08,298.026666666667
Port Margaretmouth,1,48.4,48.4
South Paulchester,1,498.08,498.08
Ginamouth,3,1082.92,360.973333333333
New Jenniferside,2,263.52,131.76
Sharpport,2,149.56,74.78
Greenside,3,458.8,152.933333333333
Rojasburgh,2,821.36,410.68
East Katherineborough,1,449.24,449.24
Lake Maryfurt,1,338.68,338.68
North Garyburgh,1,321.19,321.19
East Stephenchester,1,214.06,214.06
Hicksstad,2,687.4,343.7
North Ericton,1,312.45,312.45
Bookermouth,1,320.94,320.94
Dayburgh,1,100.4,100.4
East Devonland,1,215.27,215.27
Hobbsland,1,242.13,242.13
Port Shellymouth,1,311.86,311.86
South Nicolefurt,1,433.77,433.77
Port Karlaborough,1,482.36,482.36
Port Brandonstad,2,794.94,397.47
Cameronfurt,1,490.95,490.95
Lake Judith,1,109.02,109.02
West Maryside,1,443.62,443.62
Port Sophia,1,450.05,450.05
South Douglasland,1,230.09,230.09
West Tonymouth,1,385.96,385.96
Maldonadofurt,1,168.09,168.09
South Marystad,1,472.13,472.13
North Dianaville,1,436.65,436.65
Port Tracyfort,1,444.5,444.5
Boyleton,1,264.06,264.06
Bradleytown,2,373.78,186.89
West Robynville,1,149.51,149.51
Port Randyside,1,67.88,67.88
Port Aliciashire,2,276.91,138.455
Alanland,1,306.03,306.03
Gailborough,1,406.4,406.4
Mosston,1,202.35,202.35
Toddtown,1,371.45,371.45
Floresview,3,378.89,126.296666666667
Ramirezshire,5,1376.62,275.324
Macdonaldchester,1,169.45,169.45
Port Lesliefort,1,293.91,293.91
Sheppardberg,2,612.86,306.43
Sloanville,1,216.23,216.23
Jodyborough,1,474.48,474.48
Combsfort,1,375.3,375.3
Emmachester,1,201.66,201.66
Ruthmouth,2,541.27,270.635
Yvonnebury,1,346.75,346.75
East Gabrielaburgh,1,117.3,117.3
Benjaminton,2,67.47,33.735
Mccallside,1,184.53,184.53
South Davidstad,1,110.84,110.84
South Sharonton,1,430.57,430.57
Alexandriashire,1,249.13,249.13
Merritthaven,1,255.22,255.22
New Kevintown,1,344.55,344.55
East Joseland,1,18.09,18.09
West Caitlinland,1,256.17,256.17
North Kathrynchester,1,61.03,61.03
Alexfort,1,412.84,412.84
West Georgeview,1,369.87,369.87
Whiteton,6,1915.99,319.331666666667
East Collinbury,1,115.05,115.05
Lake Steven,11,3056.02,277.82
West Lori,5,1595.12,319.024
Port Bailey,1,121.29,121.29
Kimberlymouth,10,2424.51,242.451
Tylerchester,4,1125.19,281.2975
Aaronbury,3,883.34,294.446666666667
Lake Thomasshire,2,372.82,186.41
Susantown,3,637.2,212.4
Lake Bethany,2,514.24,257.12
Fieldston,1,139.43,139.43
South Regina,3,537.09,179.03
Butlerview,3,1082.2,360.733333333333
Port Alexchester,1,304.67,304.67
Barnettborough,2,644.58,322.29
Juanshire,1,375.54,375.54
Port Juliemouth,1,490.44,490.44
Randallport,1,430.96,430.96
Benjaminchester,5,668.12,133.624
Ryanburgh,5,1716.42,343.284
Richardland,7,1362.98,194.711428571429
Deckerside,1,238.31,238.31
East Johnshire,2,734.15,367.075
Cindyfort,1,42.16,42.16
Toniland,1,50.16,50.16
Campbelltown,2,372.97,186.485
Biancachester,1,443.66,443.66
Loriport,2,543.32,271.66
East Christianside,1,288.56,288.56
North Elizabethtown,1,93.95,93.95
Lisamouth,10,3651.11,365.111
Reidburgh,2,574.14,287.07
East Victoria,5,1317.98,263.596
Rodrigueztown,3,1097.29,365.763333333333
South Lisaview,1,91.38,91.38
Wilsonberg,4,1244.19,311.0475
Lake Ashley,9,2725.29,302.81
Taraville,2,445.34,222.67
West Rebecca,7,1533.37,219.052857142857
Destinybury,1,154.5,154.5
Tiffanyview,2,196.2,98.1
New Janet,1,212.98,212.98
Lake Aliciabury,1,378.98,378.98
Davidberg,11,2514.19,228.562727272727
East Pamelabury,1,344.14,344.14
Lawsonborough,1,55.44,55.44
South Janice,2,267.22,133.61
New Mariafurt,1,183.25,183.25
South Carlosshire,1,61.02,61.02
Richardsonview,3,749.28,249.76
North Joshuaport,1,249.3,249.3
South Christinaland,1,150.18,150.18
Port Ariel,2,537.75,268.875
Richardborough,3,537.97,179.323333333333
South Paula,2,300.29,150.145
Austinfort,1,207.65,207.65
East Stevemouth,1,395.28,395.28
Lake Angieborough,1,214.45,214.45
Port Kylebury,1,116.56,116.56
South Andrewport,1,32.06,32.06
Kelseyberg,2,593.21,296.605
Medinaborough,2,533.59,266.795
Victoriaborough,3,888.35,296.116666666667
Gambleview,1,193.55,193.55
Port Crystalville,1,495.53,495.53
New Valerie,5,1244.36,248.872
Staceyburgh,2,359.29,179.645
Webbberg,1,172.89,172.89
Collinsbury,2,709.21,354.605
West Albert,1,213.69,213.69
Conleyside,1,344.1,344.1
North Bruceburgh,1,84.57,84.57
Lake Angelaberg,1,297.88,297.88
Theresaside,4,1119.9,279.975
West Williamchester,1,456.42,456.42
Strongside,2,166.34,83.17
New Adrianbury,1,12.14,12.14
North Jorge,1,295.34,295.34
Clarkburgh,3,964.72,321.573333333333
New Sabrinaland,1,470.92,470.92
West Brianville,3,459.38,153.126666666667
Melendezchester,1,491.74,491.74
West Chadbury,1,442.04,442.04
